Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
PH 608,Tools of Theoretical Physics,3,0,0,4,Arpan Bhattacharyya(I),,,,"N1,N2
 (7/105)",,,,,,,BS
PH 612,Quantum Field Theory II,3,0,0,4,Rusa Mandal(I),,,,"F1,F2
 (7/206)",,,,,,,BS
PH 615,Physics of Two-dimensional Materials,3,0,0,4,Gopinadhan Kalon(I),,,,"M1,M2
 (7/207)",,,PH615-Course Plan,,,,BS
PH 616,Quantum Optics,3,0,0,4,Ravinder Puri(I),,,,"B1,B2
 (7/207)",,,,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,Ravinder Puri(I),,,,"P1,P2
 (7/201)",,,,,,,BS
PH 644,Tools of Experimental Physics,3,0,0,4,Rupak Banerjee(I),,,,"F1,F2
 (10/102)",,,,,,,BS
PH 649,Advanced General relativity,3,0,0,4,Sudipta Sarkar(I),,,,"M1,M2
(7/206)",,,,,,,
PH 650,Group Theory For Physics,3,0,0,4,Urjit Yajnik(I),,,,"J1,J2
(7/105)",,,,,,,
PH 651,Nanomagnetism and Spintronics,3,0,0,4,Naveen Sisodia(I),,,,"P1,P2
(7/106)",,,,,,,
PH 691-IV,Special Topics in Physics: Advanced Condensed Matter Physics,3,0,0,4,Abhisek Samanta(I),,,,"E1,E2
(7/210)",,,,,,,BS
,,,,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,,,,
FP 602,Writing,1,0,3,4,Arnapurna Rath(I),,,,"H2
 (10/103)",,"F1,F2
 (7/205,7/201,7/103,7/104,7/105,7/106,7/107)",,,,,
HS 103,French Studies,3,1,0,4,TBD,,,,"I1,I2
 (7/105)","J1
 (7/102)",,,,,,HSS
HS 111,Urdu Script & Poetry,3,1,0,4,Mohd. Mubashshir Ahsan(I),,,,"P1,P2
 (7/107)","J1
 (7/107)",,,,,,HSS
HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashshir Ahsan(I),,,,"I1,I2
 (7/102)","J1
 (7/202)",,,,,,HSS
HS 152,Advance Japanese Learning,3,1,0,4,Sweta Mistry(I),,,,"N1,N2
 (7/110)","J2
 (7/205)",,,,,,HSS
HS 153,Japanese Language for Beginners,3,1,0,4,Sweta Mistry(I),,,,"M1,M2
 (7/201)","J1
 (7/205)",,,,,,HSS
HS 154,Mandarin for Beginners,3,0,0,4,"Kao(I),Hao-Tsung (William)(I)",,,,"L1,L2
(7/208)",,,,,,,HSS
HS 155,Mandarin for Beginners - II,3,0,0,4,"Kao(I),Hao-Tsung (William)(I)",,,,"N1,N2
(7/208)",,,,,,,HSS
HS 223,Sanskrit Literature,3,1,0,4,Mana Shah(I),,,,"I1,I2
 (7/103)","J1
 (7/203)",,,,,,HSS
DES 302,"Creativity, Design and Doing",3,0,0,4,Manasi Kanetkar(I),,,,"M1,M2
(7/104)",,,Course document,,HSS students can opt for the course as non-HSS. BTech students can opt for it as a HSS course. ,,
MS 492-VI,"Principles of Business Management
(Second Half of the Semester)",3,0,0,4,Abhijit Kothari(I),,,,"N1,N2
(7/101)",,,,,,,
HS 326,Harappan Civilization,3,0,0,4,V N Prabhakar(I),,,,"I1,I2
 (10/102)",,,Course Plan,,,,HSS
HS 421,Introduction to Linguistics,3,0,0,4,Nishaant Choksi(I),,,,"N1,N2
 (7/201)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/nishaant_choksi_iitgn_ac_in/EawLZaUxt8VJoyqxLJCW5dsBUNKqDxtgOeIY4Tx7E4mDBg,,,,HSS
HS 426,Creative Writing in Practice,2,0,2,4,Arka Chattopadhyay(I+L),,,,"M1,M2
 (7/204)",,"I2
(7/205)",https://drive.google.com/file/d/1WbJsQbhlG_dLUI8CMcSFHqjMbNlm8W9M/view?usp=sharing,,,,HSS
MS 491-VII,Special Topics in Management: Managing Sustainable Businesses,3,0,0,4,Anselm Schneider(I),,,,"I1,I2
(7/110)",,,,,,,
HS 491-VIII,"""Special Topics in HSS: Challenges in the Digital Society        """,3,0,0,4,Nuno Guimaraes(I),,,,"M1,M2
(11/101)",,,Course description (updated 2024-12-12) ,,,,
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,3,0,0,4,Argha Manna(I),,,,"J1,J2
 (7/207)",,,https://docs.google.com/document/d/1Y4gdq7KrFJJMmjt3OTeqiyhtf-Dfn_PMpf4JAV9n_8U/edit?tab=t.0,,,,HSS
HS 491-XIII,Special Topics in HSS:  Drawing Connections: Environmental Perception and Visual Anthropology,3,0,0,4,Suman Chaudhury(I),,,,"M1,M2
(7/102)",,,,,,,
MS 492-VII,"Special Topics in Management: International Marketing 
(Second Hallf of Semester)",3,0,0,4,Monika Kothari(I),,,,"M1,M2
(11/102)",,,,,,,
MS 491-XIV,Special Topics in Management: Consumer Behaviour,3,0,0,4,Marcos Severos(I),,,,"P1,P2
(7/103)",,,,,,,
MS 491-XV,"Special Topics in Management: Medical Products Manufacturing Quality and Regulatory 
(First Half of the Semester) ",3,0,0,3,Premalatha Chelvakumar(I),,,,"J1,J2
(7/204)",,,,,,,
MS 492-I,"Special Topics in Management: Strategic Leadership
(First Half of the Semster)",3,0,0,2,Rajeev Sharma(I),,,,"P1,P2
(7/101)",,,,,,,
MS 492-II,"Special Topics in Management: Business Risk Management
(First Half of the Semester)",3,0,0,2,Prerna Wadikar(I),,,,"K1,K2
(7/101)",,,,,,,
MS 492-IV,Special Topics in Management: Business Ethics and Responsible Leadership (First Half of Semester),3,0,0,2,Ramachandran Veetikazhi(I),,,,"L1,L2
 (7/110)",,,,,,,HSS
MS 492-V,"Special Topics in Management: Essentials of Finance and Trade Laws
(Second Hallf of Semester)",3,0,0,2,Savan Godiawala(I),,,,"K1,K2
 (7/106)",,,,,,,HSS
HS 507,"Humanism, Antihumanism, Posthumanism",3,0,0,4,Angus McBlane(I),,,,"P1,P2
 (7/105)",,,,,,,HSS
HS 508,Indian Knowledge Systems - Buddhism in India and Beyond,3,0,0,4,"Srinivas Reddy(I), Mana Shah(I)",,,,"N1,N2
 (1/101)",,,,,,,HSS
HS 512,Political Thought,3,0,0,4,Tanka Subba(I),,,,"D1,D2
 (7/106)",,,Political Thought,,,,HSS
HS 513,Perspectives in History,3,0,0,4,Madhumita Sengupta(I),,,,"E1,E2
 (7/201)",,,"Perspectives in History 2024
",,,,HSS
HS 522,"History, Concepts and Theories of Development",3,0,0,4,Aashish Xaxa(I),,,,"A1,A2
 (7/104)",,,Course Overview,,,,HSS
HS 523,Quantiative Research Methods,3,1,0,4,Deepak Singhania(I),,,,"B1,B2
 (7/101)","A1
 (7/108)",,,,"Note: Only HSS students or those who have not taken any basic Statistics course at IITGN, such as ES 114, are allowed to register for this course.",,HSS
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath(I),,,,"N1,N2
 (7/103)",,,https://sites.iitgn.ac.in/digitalstudies/hs-631-digital-cultures-and-new-media/,,,,HSS
HS 635,India Through the Writer’s Eye,3,0,0,4,Sharmita Lahiri(I),,,,"J1,J2
 (10/102)",,,,,,,HSS
HS 642,Structures and Hydrology in Ancient India,3,0,0,4,Alok Kumar Kanungo(I),,,,"L1,L2
 (7/102)",,,https://drive.google.com/file/d/1ITPEeJNY3QzczxHSMQIwDlZZRON8Kg7h/view?usp=drive_link,,,,HSS
HS 647,"Literature, Theory and Social Contexts",3,0,0,4,Arka Chattopadhyay(I),,,,"G1,G2
 (10/103)",,,https://drive.google.com/file/d/1pWMYYLUHqqNssP0NuZZT-_spjuDWF6MC/view?usp=sharing,,,,HSS
HS 650,Critical Perspectives in Anthropology,3,0,0,4,Nishaant Choksi(I),,,,"C1,C2
 (7/110)",,,HS650 Course Plan.docx,,,,HSS
HS 653,"Academic Communication: Explanation and Paraphrasing
 (First Half of the Semester)",3,0,0,2,Jooyoung Kim(I),,,,"K1,K2
 (7/110)",,,HS653 syllabus,,,,HSS
HS 654,Mixed Methods in Research,3,0,0,2,Aditi Kothiyal(I),,,,"P1,P2
 (7/110)",,,,,,,HSS
MS 204,Business Communication(2nd half of sem),3,0,0,2,Sharmita Lahiri(I),,,,"I1,I2
 (11/101)",,,,,,,HSS
MS 404,"Neuromarketing
(Second Half of Semester)",3,0,0,2,Krishna Miyapuram(I),,,,"A1,A2
 (7/210)",,,,,,,HSS
DES 602,Information Design for e-learning,3,0,0,4,"Sameer Sahasrabudhe(I),Aditi Kothiyal(I)",,,,"N1,N2
 (11/101)",,,,,,,HSS
HS 691-IX,Special Topics in HSS: Decolonizing Social Sciences,3,0,0,4,Tanka Subba(I),,,,"M1,M2
(7/103)",,,Decolonizing Social Sciences,,,,HSS
HS 691-X,Sociology of Indigenous Peoples,3,0,0,4,Aashish Xaxa(I),,,,"M1,M2
 (7/205)",,,Course Overview,,,,HSS
HS 491-III,Special Topics in HSS: Storytelling for the Digital Era,3,0,0,4,Arnapurna Rath(I),,,,"L1,L2
 (7/201)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Biological Engineering,,,,,,,,,,,,,,,,,
BE 304,Introduction to Biomedical Engineering,3,0,0,4,Karla P. Mercado-Shekhar(I),,,,"M1,M2
 (7/208)",,,,,,,BS
BE 403,Stem Cells: Science and Applications,3,0,0,4,Dhiraj Bhatia(I),,,,"I1,I2
(7/209)",,,,,,,BS
BE 406,Systems Biology,3,0,0,4,Ashutosh Srivastava(I),,,,"B1,B2
(13/124)",,,,,,,
BE 407,Introduction to Cell Biology,3,0,0,4,Subramanian Sankaranarayanan(I),,,,"G1,G2
 (11/204)",,,,,,,BS
BE 603,Biophysical Techniques,3,0,1,4,Vijay Thiruvenkatam(I+L),,,,"D1,D2
 (13/124)",,"H1
(BE Lab)",,,,,
BE 606,Neurophysiological Basis of Movement,3,0,0,4,Pratik Mutha(I),,,,"G1,G2
 (11/206)",,,,,,,BS
BE 608,Molecular Basis of Neurodegenerative Diseases,3,0,0,4,Sharad Gupta(I),,,,"A1,A2
 (7/106)",,,,,,,BS
BE 610,Molecular Oncology,3,0,0,4,Umashankar Singh(I),,,,"F1,F2
 (13/125)",,,Molecular Oncology 2024-25 Sem-II,,,,BS
BE 615,Bioinformatics and Computational Biology,1.5,0,3,4,Ashutosh Srivastava(I+L),,,,"G1
 (13/124)",,"J1,L1
(7/109)",,,,,BS
BE 619,Cellular Communication,3,0,0,4,Sharmistha Majumdar(I),,,,"K1,K2
 (7/103)",,,,,,,
BE 691-I,Special Topics in Biological Engineering: Analysis and Characterization of Biologicals,2,0,3,4,Sharad Gupta(I+L),,,,"F1,F2
 (13/124)",,"I1,K1
(BE Lab)",,,,,
BE 692,Special Topics in Biological Engineering: Animal Cell Culture Techniques,0,0,2,2,Sharmistha Majumdar(L),,,,,,"I2,M1
(BE Lab)",,,,,
BE 617,Novel Drug Delivery Technologies: Fundamental Principles and Engineering,3,0,0,4,Mukesh Dhanka(I),,,,"E1,E2
(7/106)",,,,,,,
BE 691-IV,Special Topics in Biological Engineering: Bioinformatics Methods,0,0,3,2,Ashutosh Srivastava(L),,,,,,"M1,M2
(10/105)",,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Cognitive Science,,,,,,,,,,,,,,,,,
CG 506,Experimental Techniques in Cognitive Science,1.5,0,3,4,Krishna Miyapuram(I+L),,,,"I1
 (7/201)",,"I2,M1
 (7/108)",,,,,BS
CG 507,"Evolutionary Neuropsychology
(Quad 1)",3,0,0,2,Frederick Coolidge(I),,,,"M1,M2
(7/101)",,,,,,,
CG 517,Introduction to Cognitive Linguistics,3,0,0,4,Jooyoung Kim(I),,,,"C1,C2
 (7/106)",,,CG517 syllabus,,,,BS
CG 604,"Phenomenology, Embodiment, and Consciousness",3,0,0,4,Angus McBlane(I),,,,"E1,E2
(11/204)",,,,,,,BS
CG 605,Learning and Memory,3,0,0,4,Leslee Lazar(I),,,,"D1,D2
 (7/110)",,,,,,,BS
CG 607,Emotion and Cognition,3,0,1,4,Meera Mary Sunny(I+L),,,,"L1,L2
 (13/125)",,"J2
(7/202)",,,,,BS
CG 613, Analysis and Modelling of Locomotion,3,0,0,2,Vineet Vashista(I),,,,"B1,B2
 (7/104)",,,,,,,BS
,,,,,,,,,,,,,,,,,
Additional Courses: Computer Science and Engineering,,,,,,,,,,,,,,,,,
CS 619,Incentives in ML,3,0,0,4,Manisha Padala(I),,,,"L1,L2
 (7/210)",,,Course plan,,Will be available for registration during the Course Adjustment (Add/Drop) period,,
CS 327,Compilers,3,0,1.5,5,Balagopal Komarath(I+L),,,,"G1,G2
 (11/102)",,"H1
(10/104)",,,,,
CS 328,Introduction to Data Science,3,1,0,4,Anirban Dasgupta(I+T),,,,"I1,I2
(10/103)","B2
(10/103)",,,,,,
CS 432,Databases,3,0,0,4,Yogesh Meena(I),,,,"J1,J2
(1/101)",,,,,,,
CS 434,Software Engineering and Testing,3,1,0,4,Shouvick Mondal(I+T),,,,"N1,N2
(13/125)","J2
(13/125)",,,,,,
CS 435,Human-Computer Interaction,3,0,0,4,Yogesh Meena(I),,,,"J1,J2
 (7/104)",,,,,,,
CS 614,Advanced Algorithms,3,0,0,4,"Manoj Gupta(I),Neeldhara Misra(I)",,,,"F1,F2
 (11/206)",,,,,,,
CS 615,Advanced Computer Networks,3,0,0,4,Sameer Kulkarni(I),,,,"D1,D2
(13/125)",,,,,,,
CS 616,Distributed Systems and Cloud Computing ,3,0,1.5,5,Yuvraj PatelI+L),,,,"M1,M2
 (11/204)",,"K1
(10/104)",,,,,
CS 617,Computational Complexity Theory,3,0,0,4,"Bireswar Das(I),Balagopal Komarath(I)",,,,"M1,M2
 (13/124)",,,,,,,
ES 627,Linear Algebra and Computation,3,0,0,4,Shanmuganathan Raman(I),,,,"D1,D2
 (7/105)",,,Course Plan,,,,
ES 667,Deep Learning,3,0,0,4,Anirban Dasgupta(I),,,,"L1,L2
 (11/101)",,,,,,,
CS 691-XVII,Special Topics in Computer Science: Combinatorial and Computational Aspects of Games,3,0,0,4,Jyothi Krishnan(I),,,,"M1,M2
(7/110)",,,,,,,
CS 691-XIX,Special Topics in Computer Science: AI for Social Good,3,0,0,4,Nipun Batra(I),,,,"P1,P2
(10/102)",,,Course Website,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Electrical Engineering,,,,,,,,,,,,,,,,,
ES 333,Microprocessors and Embedded Systems,1.5,1,3,4,Jhuma Saha(I+T+L),,,,"E1,E2
 (7/102)",,"K1,M1
(EE Lab)",,,,,
EE 604,High Voltage DC and Flexible AC Transmission Systems,3,0,0,4,Naran Pindoriya(I),,,,"J1,J2
(11/205)",,,,,,,
EE 609,Advanced Signal Processing,3,0,0,4,Nithin George(I),,,,"C1,C2
(10/102)",,,Course Plan,,,,
ES 612,Artificial Intelligence,3,0,0,4,Uttama Lahiri(I),,,,"N1,N2
(11/102)",,,Course Plan,,,,
EE 618,Microelectronics Lab,0,0,3,2,Nihar Mohapatra(L),,,,,,"J2,M2
(7/108)",,,,,
EE 619,Special Electrical Machines,3,0,0,4,Ragavan K(I),,,,"E1,E2
 (7/206)",,,,,,,
EE 629,Power Electronic Converters,3,1,0,4,S Rajendran(I+T),,,,"A1,A2
(7/102)","B2
(7/102)",,Course  Plan,,,,
ES 641,Electronic Instrumentation,3,0,0,4,Uttama Lahiri(I),,,,"M1,M2
(11/206)",,,Course Plan,,,,
EE 652,IC Design Laboratory,0,0,3,2,Joycee Mekie(L),,,,,,"J1,L1
(10/105)",,,,,
EE 655,Heterostructure Devices,3,0,0,4,Jhuma Saha(I),,,,"L1,L2
(11/204)",,,Course plan,,,,
EE 653,Analog IC Design Lab,0,0,3,2,Nihar Mohapatra(L),,,,,,"I2,M1
(13/125)",,,,,
ES 655,Medical Imaging Systems,3,0,0,4,Himanshu Shekhar(I),,,,"K1,K2
(11/204)",,,,,,,
EE 657,VLSI System Design,3,0,0,4,Dinesh Kumar Sharma(I),,,,"P1,P2
(11/204)",,,,,,,
EE 658,Memory Device Technologies and Applications,3,0,0,4,Sandip Lashkare(I),,,,"I1,I2
(11/204)",,,Course Plan,,,,
EE 660,Power Management IC Design,3,0,0,4,Madhav Pathak(I),,,,"N1,N2
(11/206)",,,Syllabus,,,,
ES 665,Advanced Transportation Electrification Technology,3,0,0,4,Pallavi Bharadwaj(I),,,,"M1,M2
 (7/105)",,,Course Plan,,,,
EE 661,Fundamentals of Nanoelectronic Devices,3,0,0,4,Tarun Kumar Agarwal(I),,,,"M1,M2
(10/102)",,,,,,,
ES 670,"Matrix Methods for Signal Processing, Data Science, and Machine Learning",3,0,0,4,Shanmuganathan Raman(I),,,,"D1,D2
 (10/201)",,,Course Plan,,,,
ES 672,Semiconductor Packaging,3,0,0,4,Tarun Kumar Agarwal(I),,,,"L1,L2
(13/124)",,,,,,,
EE 691-V,Special Topics in Electrical Engineering: Regulation of Electric Sector,3,0,0,4,Anand Kumar(I),,,,"J1,J2
(11/204)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Earth Sciences,,,,,,,,,,,,,,,,,
EH 304,"Drone Data Acquisition, Processing and Interpretation",1,0,2,2,Pankaj Khanna(I+L),,,,"I2
(11/102)",,"J1,L1
(10/104)",EH_304_Syllabus,,,,BS
EH 602,River Morphology and Ecology,3,0,0,4,Vikrant Jain(I),,,,"G1,G2
(13/125)",,,,,,,BS
EH 604,Quantitative Geomorphology,3,0,0,4,R. N. Singh(I),,,,"L1,L2
(7/103)",,,,,,,BS
EH 608,Biodiversity Conservation and Sustainable Development,3,0,0,4,C. N. Pandey(I),,,,"K1,K2
(7/208)",,,,,,,BS
EH 610,Engineering Seismology and Seismic Hazard Analysis,3,0,0,4,Utsav Mannu(I),,,,"N1,N2
(13/124)",,,EH610: Course Content,,,,BS
EH 615,Statistical Seismology,3,0,0,4,Utsav Mannu(I),,,,"J1,J2
(11/206)",,,EH615: Course Content,,,,BS
EH 612,Ocean and Global Change,3,0,0,4,Pankaj Khanna(I),,,,"D1,D2
(11/102)",,,EH_612_Syllabus,,,,BS
EH 613,Carbonate Sedimentology,3,0,1.5,4,Pankaj Khanna(I+L),,,,"A1,A2
(11/206)",,"I1
(11/206)",,,,,BS
EH 621,Climate of the Past,1.5,0,3,4,Sonal Khanolkar(I),,,,"L1
(10/102)",,"L2,K2
(10/102)",EH 621 CLIMATE OF THE PAST.pdf,,,,
EH 622,Fluid Flow and Reactions in Reservoir Rocks,3,0,0,4,Achyut Mishra(I),,,,"G1,G2
(7/201)",,,Fluid flow and reactions in reservoir rocks_shared.pdf,,,,
EH 623,Stratigraphic Evolution of Indian Continent,3,0,0,4,Sonal Khanolkar(I),,,,"J1,J2
(7/110)","A2
(13/124)",,EH 623 STRATIGRAPHIC EVOLUTION OF INDIAN CONTINENT.pdf,,,,
EH 691-II,Special Topics in Earth Sciences: Atmospheric Physics,3,0,0,4,P. C. Pandey(I),,,,"C1,C2
(11/102)",,,,,,,BS
EH 691-X,Special Topics in Earth Sciences: Interpreting Animals in the Human Past,3,0,0,4,Sharada V.(I),,,,"K1,K2
(11/206)",,,EH 691-X.pdf,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Mechanical Engineering,,,,,,,,,,,,,,,,,
ME 361,Integrated Design and Manufacturing I,0,1,3,2,Prof. Ramakrishnan(T+L),,,,"A1
 (7/202)",,"J1,J2
(11/102)",,,,,
ME 606,Combustion,3,0,0,4,Dilip Sundaram(I),,,,"N1,N2
(7/210)",,,Course Plan,,,,
ES 613,Modern Control Theory,3,0,0,4,Madhu Vadali(I),,,,"E1,E2
 (7/104)",,,,,,,
ES 656,Human-Robot Interaction,3,0,0,4,Vineet Vashista(I),,,,"G1,G2
 (11/205)",,,,,,,
ME 628,Advanced Fluid Mechanics,3,1,0,4,Uddipta Ghosh(I+T),,,,"D1,D2
 (7/207)","A1
 (7/207)",,,,,,
ES 642,Control of Nonlinear Dynamical Systems,3,0,0,4,Harish P. M.(I),,,,"C1,C2
 (13/125)",,,,,,,
ME 645,Convective Heat Transfer,3,0,1,4,Soumyadip Sett(I+L),,,,"K1,K2
 (7/107)",,"I2
(7/201)",,,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,Ravi Ayyagari(I),,,,"D1,D2
 (7/103)",,,,,,,
ME 646,Introduction to Turbulence,3,0,0,4,Vinod Narayanan(I),,,,"E1,E2
 (7/103)",,,,,,,
ES 651,Computational Inelasticity,3,0,0,4,Harmeet Singh(I),,,,"E1,E2
 (7/207)",,,,,,,
ES 653,Nonlinear Continuum Mechanics,3,0,0,4,Ravi Ayyagari(I),,,,"D1,D2
 (7/103)",,,,,,,
ES 632,Energy Systems,3,0,0,4,Atul Bhargav(I),,,,"D1,D2
 (7/107)","B2
 (7/208)",,,,,,
ES 671,Mechanics of composite materials,3,0,0,4,Harini Subramanian(I),,,,"C1,C2
(7/207)",,,,,Will be available for registration during the Course Adjustment (Add/Drop) period,,
ME 691-XV,Special Topics in Mechanical Engineering: Advanced Nonlinear Dynamics,3,0,0,4,Jayaprakash K. R.(I),,,,"J1,J2
(7/106)",,,Course plan,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Materials Engineering,,,,,,,,,,,,,,,,,
MSE 355,Surface Engineering,3,0,0,4,Sriharitha Rowthu(I),,,,"L1,L2
(11/206)",,,,,,,
MSE 603,Thin Film Processing and Characterization,3,0,0,4,Emila Panda(I),,,,"A1,A2
(13/125)",,,,,,,
MSE 605,Biomaterials for Tissue Regeneration,3,0,0,4,Superb Misra(I),,,,"D1,D2
(11/206)",,,,,,,
MSE 621,Process Plant Design – How to Set Up a Process Industry,3,0,0,4,Surya P Mehrotra(I),,,,"J1,J2
(13/124)",,,,,,,
ES 623,Biomolecular Materials Science,3,0,0,4,Abhijit Mishra(I),,,,"E1,E2
(13/124)",,,,,,,
MSE 627,Interfaces in Materials,3,0,0,4,Abhay Gautam(I),,,,"E1,E2
(11/205)",,,,,,,
MSE 634,Semiconductor Materials and Fabrication Process,3,0,0,4,Anagh Bhaumik(I),,,,"B1,B2
(11/206)",,,https://classroom.google.com/c/NzI5MjAzMDgwNDM0/p/NzI5MjExODk4OTcy/details,,,,