Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
First Year(2025),,,,,,,,,,,,,,,,,
FP 100,Foundation Programme,0,0,0,4,"Abhinav Jha (I), Achyut Mishra (I), Anagh Bhaumik (I), Madhav Pathak (I), Shubhangi Bansude (I), Vaibhav Tripathi (I)",,382,,,,,,,,,
ES 101,Engineering Graphics,1.5,0,1.5,3,"Kaustubh Rane(I+L),Sameer Patel(L)",,389,,"C2
 (Jasubhai Auditorium)",,"N1,N2
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,10/203,10/204,7/208,7/209,10/201,10/202,10/104,10/105,11/101,11/102)",,,,,
MA 103,Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Indranath Sengupta(I+T),Madhu Gupta(I+T)",,384,,"E1,E2
 (Jasubhai Auditorium)","A1
(7/101,7/102,7/103,7/104,7/105,7/106,7/107,7/202,7/203,7/204,7/205)",,,,,,
ES 112,Computing,1.5,0,1.5,3,"Anirban Dasgupta(I+L),Manoj Gupta(I+L)",,386,,"F1
 (Jasubhai Auditorium)",,"P1,P2
(10/104,10/105,10/203,10/204,Jasubhai Auditorium)",To be announced in mid July,,,,
ES 115,"Design, Innovation, and Prototyping",1.5,0,3,5,"Malay Dhamelia(I),Rakesh Singhai(L),
Manasi Kanetkar(I+L)",,384,,"C1
 (Jasubhai Auditorium)",,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (Surendra C Sheth Learning Theatre)",,,,,
ES 118,Materials for the Future,1.5,0,1.5,3,Superb Misra(I+L),,387,,"G1
 (Jasubhai Auditorium)",,"I1,J1,I2,K2,J2,P2
 (MSE Lab)",,,,,
HS 191,Introduction to Writing - 1,1,3,0,2,Jooyoung Kim(I+T),,384,,,,"H1,H2 (7/101,7/102,7/103,7/104,7/105,7/205)
B1,B2
(7/106,7/107,7/201)
I1,I2
(7/202,7/203,7/204)",To be announced in mid July,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Naveen Sisodia(L), Krista Khiangte(L), Priyabrata Ghana(L), Partha Pratim Roy(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
HS 201,World Civilizations and Cultures,3,0,0,4,"Madhumita Sengupta(I),Sharada Channarayapatna(I),V N Prabhakar(I)",,408,,"D1,D2
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,10/201)",,,,,,,
PE 101,Physical Education,0,0,0,0,,,387,,,,,,,,,
IN 101,Comprehensive Viva Voce,0,0,0,0,,,384,,,,,,,,,
Second Year(2024),,,,,,,,,,,,,,,,,
ES 243,Biology for Engineers,3,1,0,4,Umashankar Singh(I+T),,359,,"D1,D2
 (Jasubhai Auditorium)","A1
 (Jasubhai Auditorium)",,ES243 course plan,,,,
GE 201,General Education II,3,0,0,2,TBD(I),,371,,"P1,P2
 (10/201)",,,,,,,
PH 202,Introduction to Quantum Physics,2,1,0,4,Krista Khaingte(I+T),,26,,"L1,L2
(7/202)",,,PH 202 Course Plan,,,,BS
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,413,,"B1,B2
 (Jasubhai Auditorium)",,,,,,,
ES 204,Digital Systems,2,1,1.5,4,Joycee Mekie(I+T+L),,200,,"E1,E2
 (10/103)",,"J1,J2
(10/104,10/105)",ES 204 Digital Systems,,,,
MA 205,"Calculus of Several Variables 
(First half of Semester)",3,1.5,0,2,Rohit Kumar Mishra(I+T),,283,,"F1,F2
 (10/103)","C1
 (7/101,7/210,7/103,7/104,7/105,7/106)",,Course Plan,,,,
MA 206,"Introduction to Complex Analysis
(Second half of Semester)",3,1.5,0,2,Tanya Srivastava(I+T),,53,,"C1,C2
 (7/206)","A2
(7104,7/105)",,,,,,
ES XXX,Science Basket Course,-,-,-,4,,,0,,,,,,,,,
ES 211,Thermodynamics,2,1,0,3,"Atul Bhargav(I+T),Prabhat Munshi(T),Mithun Radhakrishna(T)",,123,,"G1,G2
 (Jayshree S Sheth Learning Theatre)",,,,,,,
MSE 202,Materials Thermodynamics,3,1,0,4,Abhay Gautam(I+T),,28,,"J1,J2
 (7/207)","L1
 (7/207)",,,,,,
EE 221,Electronic Devices,2,1,0,3,Sandip Lashkare(I+T),,83,,"I1,I2
 (10/201)",,,EE221 Course Plan,,,,
CE 201,Earth Materials and Processes,1.5,0,3,2,Vikrant Jain(I+L),,32,,"E1
 (7/101)",,"I1,K1
(7/206)",,,,,
CL 201,Chemical Process Calculations,2,1,0,3,Sameer Dalvi(I+T),,53,,"E1,E2
 (10/102)",,,CL 201 Course Plan,,,,
ES 242,Data Structures and Algorithms I,3,0,1.5,4,Balagopal Komarath(I+L),,277,,"N1,N2
 (10/103)",,"H2
 (Jasubhai Auditorium)",Course Plan,,,,
ES 244,"Signals, Systems, and Random Processes",3,1.5,0,4,Uttama Lahiri(I+T),,125,,"G1,G2
 (10/201)","H1
 (10/201)",,Course Plan,,,,
ES 221,Mechanics of Solids,3,1.5,0,4,Gaurav Srivastava(I+T),,40,,"G1,G2
 (7/101)","H2
 (10/102)",,,,,,
ES 214,Discrete Mathematics,3,1,0,4,"Neeldhara Misra(I+T), Jyothi Krishnan(I+T)",,91,,"G1,G2
 (10/202)","H1
 (10/202)",,,,,,
CE 203,Geospatial Engineering,1.5,0,3,3,Vimal Mishra(I+L),,34,,"E2
 (7/101)",,"J1,L1
(7/201)",,,,,
EE 223,Electrical Machines,2,1,1.5,4,Ragavan K(I+T+L),,78,,"K1,K2
 (10/201)",,"J1,L1,J2,M2
 (EE Lab)",EE 223-Electrical Machines,,,,
MSE 207,Structure of Materials,3,1,0,4,Anagh Bhaumik(I+T),,23,,"G1,G2
 (7/104)","M1
 (7/201)",,https://classroom.google.com/c/NzYzODUyMTEwNTUx/p/NzYzODUzMjAwMzU3/details,,,,
MSE 204,Transport Phenomena in Materials Engineering,3,1,0,4,Sriharitha Rowthu(I+T),,25,,"E1,E2
 (7/210)","H1
 (10/102)",,https://drive.google.com/file/d/1IPzCygl71BKS9yndBdjsHAd1phfNIcRK/view?usp=sharing,,,,
ME 206,Statics and Dynamics,2,1,1.5,4,Jayaprakash K. R.(I+T+L),,84,,"E1,E2
 (7/209)",,"I1
(7/209)",,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,Madhav Pathak(I+T+L),,70,,"E1,E2
(10/201)",,"I1,K1
(EE Lab)",EE322 Analog and Mixed Signal Circuits Course Plan,,,,
EE XXX,Semiconductor Devices,3,1,0,4,Sandip Lashkare(I+T),,,,,,,EE221 Course Plan,,,,
EE XXX,Unveiling the Semiconductor World,2,0,0,2,Nihar Mohapatra(I),,,,,,,,,,,
PE 103,Physical Education,0,0,0,0,,,374,,,,,,,,,
IN 103,Comprehensive Viva Voce,0,0,0,0,,,362,,,,,,,,,
5th Sem Artificial Intelligence,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102, Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,"Manisha Padala(I),Neeldhara Misra(I)",,127,,"C1,C2
 (10/201)",,,,,,,
ES 335,Machine Learning,3,1,0,4,Nipun Batra(I),,181,,"P1,P2
 (10/103)","L2
 (10/103)",,,,,,
HS XXX,HSS Elective,,,,4,,,0,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Artificial Intelligence,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Chemical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102, Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
CL 313,Chemical Reaction Engineering-II,2,1,0,3,Chinmay Ghoroi(I+T),,46,,"G1,G2
 (7/102)",,,CL 313 - Course Plan,,,,
CL 314,Separation Processes - I,2,1,0,3,Karthik Subramaniam(I+T),,47,,"E1,E2
 (7/102)",,,,,,,
CL 315,Process Dynamics and Control,2,1,0,3,Nitin Padhiyar(I+T),,48,,"D1,D2
 (7/102)",,,,,,,
CL 326,Integrated Chemical Engineering Lab-I,0,0,4.5,3,Biswajit Saha(L),,48,,,,"I2,M1,P1
(CL Lab)",,,,,
HS XXX,HSS Elective,,,,4,,,0,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Chemical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Civil Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102, Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
CE 301,Soil Mechanics,3,1,2,5,"Amit Prashant(I+T),Ajanta Sachan(L)",,29,,"G1,G2
 (7/210)","L2
 (7/105)","I1,K1
(CE Lab)",,,,,
CE 312,Design of Steel Structures,3,1,0,4,Dhiman Basu(I+T),,27,,"D1,D2
 (7/101)","H2
 (11/101)",,Course Link,,,,
CE 310,Hydrology and Hydraulics,3,0,1.5,4,Udit Bhatia(I+L),,,,"E1,E2
 (7/107)",,"L1
(7/105)",,,,,
CE 404,Transportation Engineering,3,0,0,4,Sushobhan Sen(I),,37,,"F1,F2
 (7/104)",,,CE 404 2025-26 Sem I Syllabus.docx,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Civil Engineering,,,,,,,,,,,,,,,,,
CE 403,Construction Technology & Management,3,0,0,4,Siva Chopeperla(I),,40,,"E1,E2
(7/105)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/EV6CYvQmvNpMmFwJaa0AH1QBd62WfoV8ZgHxfOSQbF8LUQ?e=AvBtdl,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102, Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
CS 202,Software Tools and Techniques for CSE,1.5,0,3,4,Shouvick Mondal(I+L),,100,,"D1
 (10/103)",,"I1,K1
(10/104,10/105)",Course Plan,,,,
CS 330,Operating Systems,3,0,1.5,4,Abhishek Bichawat(I+L),,130,,"F1,F2
(10/201)","L1
(10/203,10/204,10/201)",,Course Plan,,,,
CS 331,Computer Networks,3,1,0,4,Sameer Kulkarni(I+T),,100,,"G1,G2
(10/103)","H2
(Surendra C Sheth Learning Theatre)",,Course Plan,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,"Manisha Padala(I),Neeldhara Misra(I)",,127,,"C1,C2
 (10/201)",,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Electrical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102, Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
EE 312,Engineering Electromagnetics,3,1,0,4,Ravi Hegde(I+T),,64,,"G1,G2
 (7/109)","H2
 (10/202)",,https://docs.google.com/document/d/1Mitg2tScGQkx5Uf_YOHr7_RVZp7UcnQsSYWoLQXkq0I/edit?usp=sharing,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,Madhav Pathak(I+T+L),,70,,"E1,E2
(10/201)",,"I1,K1
(EE Lab)",EE322 Analog and Mixed Signal Circuits Course Plan,,,,
EE 323,Digital Signal Processing,3,1.5,0,4,Nithin George(I+T),,72,,"D1,D2
 (10/202)","A1
 (10/202,10/102)",,Course Plan,,,,
EE 333,Power Electronics,2,1,1.5,4,S Rajendran(I+T+L),,74,,"C1,C2
 (10/202)","C1
(10/102)","I2,M1,J2,M2
(EE Lab)",https://drive.google.com/file/d/1yQuy8tPSD9b2FKpSgaWMcuZreG5gGNmj/view?usp=drive_link,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Electrical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Basic Science Elective (choose from list below),,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Mechanical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102,Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
ES 245,Control Systems,3,1.5,0,4,Vineet Vashista(I+T),,52,,"G1,G2
 (11/101)","A1
 (7/108)",,,,,,
ME 333,Mechanics of Materials,2,1,1,3,"Ravi Ayyagari(I+T+L),Harmeet Singh(T+L)",,53,,"E1,E2
 (7/109)",,"I1
(ME Lab)",,,,,
ME 334,Heat and Mass Transfer,3,1,1,4,"Dilip Sundaram(I+L),Atul Bhargav(T),Uddipta Ghosh(T),Soumyadip Sett(T)",,53,,"F1,F2
(Surendra C Sheth Learning Theatre)","B1
(11/205,11/206,7/104)","I2,M1
(ME Lab)",,,,,
ME 362,Introduction to Manufacturing Systems and Metrology,2,0,1.5,3,Rakesh Singhai(I+L),,49,,"D1,D2
 (7/108)",,"H2
 (11/102)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Mechanical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
5th Sem Materials Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,0,1.5,4,Deepak Singhania(I+L),,277,,"J1,J2
 (Jasubhai Auditorium)","H1
 (Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,11/101,11/102,Jasubhai Auditorium, 1/103)",,https://drive.google.com/file/d/1fjtnOb8ljB_Tt9dZOAjj0Idfvp4jkYCi/view?usp=sharing,,,,
MSE 307,Materials Processing,3,0,0,4,Pradipta Ghosh(I),,19,,"E1,E2
 (13/125)",,,,,,,
MSE 313,"Polymers, Ceramics and Composites",3,0,1.5,4,Abhijit Mishra(I+L),,17,,"D1,D2
 (13/125)",,"I1
(ME Lab)",,,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,Surya P Mehrotra(I),,12,,"G1,G2
 (7/105)",,,Course Plan,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,275,,,,,,,,,
7th Sem Materials Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,229,,,,,,,,,
Electives,,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,,
FP 501,Aarohan (For 2025 MSc and MA students),0,0,0,2,"Projesh Nath Choudhury(I), Malay Dhamelia(I), Manisha Samanta(I) and Manisha Padala(I)",,,,,,,,,,,
FP 601,"Aarohan (For 2025 MTech, PGDIIT and PhD students)",0,0,0,2,"Projesh Nath Choudhury(I), Malay Dhamelia(I), Manisha Samanta(I) and Manisha Padala(I)",,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2025 MSc and MA students),0,0,0,0,,,47,,,,,,,,,
PE 600,"Physical Education (For 2025 MTech, PGDIIT and PhD students)",0,0,0,0,,,144,,,,,,,,,
Additional courses BE,,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Mukesh Dhanka(I),,40,,"M1,M2
 (7/101)",,,https://docs.google.com/document/d/1paSa1KlOzWpMSFdFKxhG83N64Q12IMfR/edit?usp=sharing&ouid=107984983868149659120&rtpof=true&sd=true,,,,BS
BE 404,Genetic Engineering – Principles and Applications,3,0,0,4,Sharmistha Majumdar(I),,44,,"J1,J2
 (7/102)",,,,,,,
BE 613,Biochemistry,3,0,0,4,Dhiraj Bhatia(I),,21,,"G1,G2
 (Surendra C Sheth Learning Theatre)",,,BE 613 course plan,,,,BS
BE 614,Biostatistics,1.5,0,3,4,Ashutosh Srivastava(I+L),,75,,"E1
 (7/208)",,"I1,K1
(10/203)",BE 614 course plan,,,,BS
BE 616,Human Physiology,3,0,0,4,Karla P. Mercado-Shekhar(I),,37,,"C1,C2
 (7/201)",,,BE 616 course plan,,,,BS
BE 618,Molecular Biotechnology,1.5,0,3,4,Subramanian Sankaranarayanan(I+L),,40,,"E2
 (7/103)",,"J1,L1
(BE Lab)",BE 618 course plan,,,,
,,,,,,,,,,,,,,,,,
Additional courses CE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,11,,"G1,G2
 (7/108)",,"I2,M1
(CE Lab)",https://drive.google.com/file/d/1vzt8W6mDPvWGx4tkv1rqsEblxX1fuHpK/view?usp=sharing,,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Dhiman Basu(I),,15,,"L1,L2
 (13/124)",,,Course Link,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Vimal Mishra(I),,11,,"D1,D2
 (7/104)",,,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,34,,"G1,G2
 (7/207)",,,course_plan,,,,
CE 622,Structural Dynamics,3,0,0,4,Manish Kumar(I),,15,,"K1,K2
 (13/124)",,,Course Plan,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Mohapatra(I),,13,,"G1,G2
 (11/205)",,,Link,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,SR Gandhi(I),,12,,"E1,E2
 (11/205)",,,,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,11,,"J1,J2
 (7/106)",,,Course Plan,,,,
CE 635,Pavement Materials and Design,3,0,0,4,Sushobhan Sen(I),,10,,"P1,P2
 (13/124)",,,CE 635 2025-26 Sem I Syllabus.docx,,,,
CE 637,Infrastructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,17,,"M1,M2
(11/204)",,,,,,,
CE 638,Advanced Concrete Technology,3,0,0,4,Siva Chopeperla(I),,20,,"I1,I2
 (13/124)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/EehU8Avhy51CojioZd3913cB_n2otJvprzzpT4TjMVN7AA?e=b3Gxs7,,,,
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),3,0,0,4,S K Arora(I),,25,,"E1,E2
 (7/106)",,,https://drive.google.com/file/d/1s32i5UG8qlMvbWheEhvyNHAtS6UNzGMA/view?usp=sharing,,,,
CE 691-VIII,Special Topics in Civil Engineering: Administration of Contracts,3,0,0,4,Col. Kishore(I),,11,,"N1,N2
 (13/124)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional courses CL,,,,,,,,,,,,,,,,,
CL 324,Introduction to Polymer Science and Engineering,3,0,0,4,Pratyush Dayal(I),,5,,"I1,I2
 (7/205)",,,Course Plan,,,,
CL 328,Chemical Engineering Practice in Industry,1.5,0,0,2,"Nitin Padhiyar(I), Kaustubh Rane(I)",,,,"K2
(7/206)",,,cl328_course_plan,,,,
